Memory Index,Q0.7 Signed Binary Value,X Axis Value,Sigmoid Value (Real),Actual Stored LUT Decimal Value (Q0.7),Actual Stored LUT Binary Value,Absolute Error,MAE
0,10000000,-6.000000000,0.002472623,0.000000000,00000000,0.002472623,0.002161178
1,10000001,-5.952941176,0.002591454,0.000000000,00000000,0.002591454,
2,10000010,-5.905882353,0.002715981,0.000000000,00000000,0.002715981,
3,10000011,-5.858823529,0.002846475,0.000000000,00000000,0.002846475,
4,10000100,-5.811764706,0.002983219,0.000000000,00000000,0.002983219,
5,10000101,-5.764705882,0.003126512,0.000000000,00000000,0.003126512,
6,10000110,-5.717647059,0.003276665,0.000000000,00000000,0.003276665,
7,10000111,-5.670588235,0.003434005,0.000000000,00000000,0.003434005,
8,10001000,-5.623529412,0.003598872,0.000000000,00000000,0.003598872,
9,10001001,-5.576470588,0.003771625,0.000000000,00000000,0.003771625,
10,10001010,-5.529411765,0.003952637,0.007812500,00000001,0.003859863,
11,10001011,-5.482352941,0.004142301,0.007812500,00000001,0.003670199,
12,10001100,-5.435294118,0.004341026,0.007812500,00000001,0.003471474,
13,10001101,-5.388235294,0.004549241,0.007812500,00000001,0.003263259,
14,10001110,-5.341176471,0.004767395,0.007812500,00000001,0.003045105,
15,10001111,-5.294117647,0.004995958,0.007812500,00000001,0.002816542,
16,10010000,-5.247058824,0.005235421,0.007812500,00000001,0.002577079,
17,10010001,-5.200000000,0.005486299,0.007812500,00000001,0.002326201,
18,10010010,-5.152941176,0.005749129,0.007812500,00000001,0.002063371,
19,10010011,-5.105882353,0.006024474,0.007812500,00000001,0.001788026,
20,10010100,-5.058823529,0.006312923,0.007812500,00000001,0.001499577,
21,10010101,-5.011764706,0.006615091,0.007812500,00000001,0.001197409,
22,10010110,-4.964705882,0.006931621,0.007812500,00000001,0.000880879,
23,10010111,-4.917647059,0.007263186,0.007812500,00000001,0.000549314,
24,10011000,-4.870588235,0.007610489,0.007812500,00000001,0.000202011,
25,10011001,-4.823529412,0.007974266,0.007812500,00000001,0.000161766,
26,10011010,-4.776470588,0.008355285,0.007812500,00000001,0.000542785,
27,10011011,-4.729411765,0.008754349,0.007812500,00000001,0.000941849,
28,10011100,-4.682352941,0.009172297,0.007812500,00000001,0.001359797,
29,10011101,-4.635294118,0.009610004,0.007812500,00000001,0.001797504,
30,10011110,-4.588235294,0.010068388,0.007812500,00000001,0.002255888,
31,10011111,-4.541176471,0.010548402,0.007812500,00000001,0.002735902,
32,10100000,-4.494117647,0.011051046,0.007812500,00000001,0.003238546,
33,10100001,-4.447058824,0.011577361,0.007812500,00000001,0.003764861,
34,10100010,-4.400000000,0.012128435,0.015625000,00000010,0.003496565,
35,10100011,-4.352941176,0.012705402,0.015625000,00000010,0.002919598,
36,10100100,-4.305882353,0.013309447,0.015625000,00000010,0.002315553,
37,10100101,-4.258823529,0.013941805,0.015625000,00000010,0.001683195,
38,10100110,-4.211764706,0.014603761,0.015625000,00000010,0.001021239,
39,10100111,-4.164705882,0.015296660,0.015625000,00000010,0.000328340,
40,10101000,-4.117647059,0.016021901,0.015625000,00000010,0.000396901,
41,10101001,-4.070588235,0.016780940,0.015625000,00000010,0.001155940,
42,10101010,-4.023529412,0.017575296,0.015625000,00000010,0.001950296,
43,10101011,-3.976470588,0.018406551,0.015625000,00000010,0.002781551,
44,10101100,-3.929411765,0.019276350,0.015625000,00000010,0.003651350,
45,10101101,-3.882352941,0.020186406,0.023437500,00000011,0.003251094,
46,10101110,-3.835294118,0.021138500,0.023437500,00000011,0.002299000,
47,10101111,-3.788235294,0.022134486,0.023437500,00000011,0.001303014,
48,10110000,-3.741176471,0.023176289,0.023437500,00000011,0.000261211,
49,10110001,-3.694117647,0.024265909,0.023437500,00000011,0.000828409,
50,10110010,-3.647058824,0.025405425,0.023437500,00000011,0.001967925,
51,10110011,-3.600000000,0.026596994,0.023437500,00000011,0.003159494,
52,10110100,-3.552941176,0.027842852,0.031250000,00000100,0.003407148,
53,10110101,-3.505882353,0.029145323,0.031250000,00000100,0.002104677,
54,10110110,-3.458823529,0.030506810,0.031250000,00000100,0.000743190,
55,10110111,-3.411764706,0.031929805,0.031250000,00000100,0.000679805,
56,10111000,-3.364705882,0.033416888,0.031250000,00000100,0.002166888,
57,10111001,-3.317647059,0.034970728,0.031250000,00000100,0.003720728,
58,10111010,-3.270588235,0.036594084,0.039062500,00000101,0.002468416,
59,10111011,-3.223529412,0.038289808,0.039062500,00000101,0.000772692,
60,10111100,-3.176470588,0.040060841,0.039062500,00000101,0.000998341,
61,10111101,-3.129411765,0.041910221,0.039062500,00000101,0.002847721,
62,10111110,-3.082352941,0.043841076,0.046875000,00000110,0.003033924,
63,10111111,-3.035294118,0.045856632,0.046875000,00000110,0.001018368,
64,11000000,-2.988235294,0.047960202,0.046875000,00000110,0.001085202,
65,11000001,-2.941176471,0.050155197,0.046875000,00000110,0.003280197,
66,11000010,-2.894117647,0.052445116,0.054687500,00000111,0.002242384,
67,11000011,-2.847058824,0.054833550,0.054687500,00000111,0.000146050,
68,11000100,-2.800000000,0.057324176,0.054687500,00000111,0.002636676,
69,11000101,-2.752941176,0.059920758,0.062500000,00001000,0.002579242,
70,11000110,-2.705882353,0.062627143,0.062500000,00001000,0.000127143,
71,11000111,-2.658823529,0.065447254,0.062500000,00001000,0.002947254,
72,11001000,-2.611764706,0.068385091,0.070312500,00001001,0.001927409,
73,11001001,-2.564705882,0.071444722,0.070312500,00001001,0.001132222,
74,11001010,-2.517647059,0.074630278,0.078125000,00001010,0.003494722,
75,11001011,-2.470588235,0.077945948,0.078125000,00001010,0.000179052,
76,11001100,-2.423529412,0.081395969,0.078125000,00001010,0.003270969,
77,11001101,-2.376470588,0.084984619,0.085937500,00001011,0.000952881,
78,11001110,-2.329411765,0.088716208,0.085937500,00001011,0.002778708,
79,11001111,-2.282352941,0.092595067,0.093750000,00001100,0.001154933,
80,11010000,-2.235294118,0.096625535,0.093750000,00001100,0.002875535,
81,11010001,-2.188235294,0.100811950,0.101562500,00001101,0.000750550,
82,11010010,-2.141176471,0.105158632,0.101562500,00001101,0.003596132,
83,11010011,-2.094117647,0.109669871,0.109375000,00001110,0.000294871,
84,11010100,-2.047058824,0.114349908,0.117187500,00001111,0.002837592,
85,11010101,-2.000000000,0.119202922,0.117187500,00001111,0.002015422,
86,11010110,-1.952941176,0.124233007,0.125000000,00010000,0.000766993,
87,11010111,-1.905882353,0.129444155,0.132812500,00010001,0.003368345,
88,11011000,-1.858823529,0.134840238,0.132812500,00010001,0.002027738,
89,11011001,-1.811764706,0.140424980,0.140625000,00010010,0.000200020,
90,11011010,-1.764705882,0.146201940,0.148437500,00010011,0.002235560,
