"Testbench","Status","SimOut","VCD","Log"
"apb_rw_tb.sv","PASS","yes","yes","Outputs/out/run_logs/apb_rw_tb.log"
"hidden_layer_tb.sv","PASS","yes","yes","Outputs/out/run_logs/hidden_layer_tb.log"
"lookup_layer_tb.sv","PASS","yes","yes","Outputs/out/run_logs/lookup_layer_tb.log"
"loss_function_tb.sv","PASS","yes","yes","Outputs/out/run_logs/loss_function_tb.log"
"lut_ram_tb.sv","PASS","yes","yes","Outputs/out/run_logs/lut_ram_tb.log"
"output_layer_tb.sv","PASS","yes","yes","Outputs/out/run_logs/output_layer_tb.log"
"pipeline_manager_tb.sv","PASS","yes","yes","Outputs/out/run_logs/pipeline_manager_tb.log"
"pipeline_timing_tb.sv","PASS","yes","yes","Outputs/out/run_logs/pipeline_timing_tb.log"
"two_vector_test_tb.sv","PASS","yes","yes","Outputs/out/run_logs/two_vector_test_tb.log"
"hidden_layer_unit_tb.sv","PASS","yes","yes","Outputs/out/run_logs/hidden_layer_unit_tb.log"
"input_layer_tb.sv","PASS","yes","yes","Outputs/out/run_logs/input_layer_tb.log"
"mem_fetch_unit_tb.sv","PASS","yes","yes","Outputs/out/run_logs/mem_fetch_unit_tb.log"
"memory_mapper_tb.sv","PASS","yes","yes","Outputs/out/run_logs/memory_mapper_tb.log"
"outlier_detector_tb.sv","PASS","yes","yes","Outputs/out/run_logs/outlier_detector_tb.log"
"output_layer_processing_unit_tb.sv","PASS","yes","yes","Outputs/out/run_logs/output_layer_processing_unit_tb.log"
"relu_unit_tb.sv","PASS","yes","yes","Outputs/out/run_logs/relu_unit_tb.log"
"result_status_encoder_tb.sv","PASS","yes","yes","Outputs/out/run_logs/result_status_encoder_tb.log"
